"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"July 14, 2009","Canyons School District","Cottonwood","Heights","Portable Device","Educational Institutions","6,000",6000,"Canyons School District officials 
          are investigating the disappearance of a thumb drive that contained 
          the personal information of more than 6,000 current and recent employees. 
          The USB flash drive is believed to have contained employee addresses, 
          phone numbers, dates of birth and Social Security numbers. A district-level 
          worker was using it to transfer data for apparently legitimate, 
          job-related purposes.","Dataloss DB","2009",-111.8162931,40.6183158
"July 14, 2009","Leander School District","Leander","Texas","Unknown","Educational Institutions","0",0,"School officials sent a notice 
            home with special needs students to alert parents that someone gained 
            access to private information. It appears that one individual gained 
            unauthorized electronic access to confidential information.","Media","2009",-97.8530686,30.5788055
"July 9, 2009","Mountain Medical Center","Salt","Lake","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","0",0,"Names, credit card numbers, Social 
            Security numbers were found in a dumpster. A man was throwing away 
            some stuff in a dumpster and found it was chock full of medical records. There's 
            everything in there from canceled checks to routing numbers, 
            he said. Salt Lake Police packed away perhaps twenty boxes of papers, 
            and said they would protect the documents, as they dug into the matter.","Media","2009",-111.8910474,40.7607793
"July 8, 2009","AT&T","Chicago","Illinois","Insider","Business Other","2,100",2100,"A temporary employee for AT&T 
            was arrested today on charges she stole personal information on 2,100 
            co-workers and then pocketed more than $70,000 by taking out short-term 
            payday loans in the names of 130 of them.","Dataloss DB","2009",-87.6297982,41.8781136
"June 24, 2009","Florida Department of Revenue","Tallahassee","Florida","Portable Device","Government and Military","2,828",2828,"The names, addresses and Social 
          Security numbers of about 3,000 people employed by a handful of state 
          businesses were on a password-protected flash drive stolen from the 
          car of a Florida Department of Revenue employee in Georgia. The people 
          were current or past employees of six large corporations that are being 
          audited by the state.","Dataloss DB","2009",-84.2807329,30.4382559
"June 24, 2009","Battle Creek City","Battle","Creek","Unintended Disclosure","Government and Military","65",65,"Some Battle Creek city employees 
          are getting free identity protection help after the mayor posted a document 
          with personnel information to a public Web site. Information on city 
          workers, including Social Security numbers, was listed on a city check 
          registry that the mayor put online and linked to using his Twitter.com 
          account. The registry is no longer online and the city has worked with 
          law enforcement and Twitter, to remove any archived references to the 
          information.","Media","2009",-85.1797142,42.3211522
"June 23, 2009","Cornell University","Ithaca","New","Portable Device","Educational Institutions","45,277",45277,"A stolen Cornell University computer 
          has compromised the personal information of thousands of members of 
          the University community. The computer contains the names and Social 
          Security numbers of current and former students as well as current and 
          former faculty and staff members.","Dataloss DB","2009",-76.5018807,42.4439614
"June 18, 2009","Suncoast Schools Federal Credit Union","Tampa","Florida","Hacking or Malware","Financial and Insurance Services","56,000

            Not added to the total because it's included in the huge number already 
            attributed for Heartland.",0,"Some members of Suncoast Schools              Federal Credit Union have been notified that their debit card accounts              were exposed to fraud. It is the latest casualty of last year's breach              of Heartland Payment Systems, one of the country's largest credit              card processors, where information from more than 100 million credit              and debit card transactions was exposed. Not until the end of May              did Suncoast discover that some of its customers who use Visa Check              Cards could be in danger. The Tampa credit union is issuing new cards              to all members whose accounts were compromised.","Media","2009",-82.4571776,27.950575
"June 16, 2009","Redondo Beach Arco Gas Station","Redondo","Beach","Insider","Retail Merchant Including Online Retail","1,000",1000,"An organized-crime ring that police 
            believe is Russian or Armenian targeted a high-volume Redondo Beach 
            Arco gas station, assigned a low-level soldier to infiltrate it and 
            waited eight months while he worked himself into a position where 
            he could implant a tiny, high-tech skimmer to steal 
            customers' credit-card information. Armed with a fresh batch 
            of personal-information numbers, the gang began draining thousands 
            of Southern California bank accounts soon after Erick, 
            the model employee who was by then entrusted with opening the station 
            every day at 5 a.m., vanished in late April along with 1,500 packs 
            of cigarettes, $1,000, a laptop, his employee application form  -  
            and the two digital video recorders used for surveillance. The skimmer 
            scam left a string of more than 1,000 victims, stretching from Santa 
            Barbara to Newport Beach.","Media","2009",-118.3884078,33.8491816
"June 12, 2009","Kirkwood Community College","Cedar","Rapids","Portable Device","Educational Institutions","1,600",1600,"Someone took a storage device from 
          a counselor's office in Iowa City. That device contained names and Social 
          Security numbers for participants in the PROMISE JOBS program.","Dataloss DB","2009",-91.6656232,41.9778795
"June 5, 2009","Virginia Commonwealth University","Richmond","Virginia","Stationary Device","Educational Institutions","17,214",17214,"A desktop computer was stolen from 
          a secured area within Cabell Library in mid-April. The computer may 
          have contained student names, Social Security numbers and test scores 
          dating from October 2005 to the present. VCU discontinued use of Social 
          Security numbers as ID numbers in January 2007. An additional 22,500 
          students are being notified that their names and test scores may have 
          also been on the computer. No Social Security numbers were recorded 
          with those names, but computer-generated student ID numbers may have 
          been.","Dataloss DB","2009",-77.4360481,37.5407246
"June 4, 2009","Maine Office of Information Technology","Augusta","Maine","Physical Loss","Government and Military","597",597,"Through a printing error, 597 people 
          receiving unemployment benefits last week got direct-deposit information 
          including Social Security numbers belonging to another person. We 
          received a print job and were running it, and there was an equipment 
          malfunction, Thompson said. In restarting the piece of equipment, 
          a mistake was made and it started one page off. It was an error and 
          our quality assurance didn't pick it up. Recipients received one 
          page with their own information and another page with information belonging 
          to a different person.","Dataloss DB","2009",-69.7794897,44.3106241
"May 27, 2009","Warren County Virtual Community School","Lebanon","Ohio","Physical Loss","Educational Institutions","140",140,"Contractors installing fiber on 
          a near by street to the school say they found a four-page list in a 
          recycling dumpster when they went to dump some trash. The list had more 
          than 140 students' names, addresses, Social Security numbers and 
          birth dates listed. Their parents names were on the list too.","Dataloss DB","2009",-84.2029922,39.4353373
"May 23, 2009","Indianapolis Department of Workforce Development","Indianapolis","Indiana","Unintended Disclosure","Government and Military","4,500",4500,"The Department of Workforce Development 
            is notifying approximately 4,500 unemployment recipients concerning 
            the accidental disclosure of their Social Security number to the incorrect 
            employer. The release occurred during the printing of DWD's Statement 
            of Benefit Charges by print vendor, Pitney Bowes Management 
            Services Inc. This form is sent to companies listing those who are 
            collecting unemployment benefits against that employer's account. 
            The misprinted statements contained information from individuals who 
            did not work for that company. Approximately 1,200 companies received 
            incorrect statements.","Dataloss DB","2009",-86.158068,39.768403
"May 18, 2009","NJ Department of Labor and Workforce Development","Trenton","New","Unintended Disclosure","Government and Military","28,000",28000,"Unemployed New Jersey residents 
          may have had their name and Social Security number accidentally delivered 
          to an employer for which you did not work. The error occurred when department 
          staff last month sent first-quarter reports to businesses that included 
          a list of former employees receiving unemployment benefits. Because 
          some companies had laid off a significant number of employees, the reports 
          were longer than usual, requiring staff members to stuff the envelopes 
          by hand rather by machine. Some reports were placed in the wrong envelopes.","Dataloss DB","2009",-74.7429384,40.2170534
"May 18, 2009","Anderson Kia Car Dealership","Boulder","Colorado","Physical Loss","Retail Merchant Including Online Retail","0",0,"Police have chained up 10 recycling 
          bins outside Boulder's now-defunct Anderson Kia car dealership 
          after learning that the bins were stuffed with personal information 
          from the dealership's former customers. Green recycling bins were 
          piled full with folders, each headed with an individual's name. 
          All of the folders contained Social Security numbers, driver's 
          license information, photos, phone numbers and financial information 
          for Kia customers.","Dataloss DB","2009",-105.2705456,40.0149856
"May 11, 2009","Office of the State Superintendent of Education D.C.","Washington","District","Unintended Disclosure","Educational Institutions","2,400",2400,"The D.C. agency that handles college 
          financial aid requests had accidentally e-mailed personal information 
          from 2,400 student applicants to more than 1,000 of those applicants. 
          An employee of the agency's Higher Education Financial Services Program 
          inadvertently attached an Excel spreadsheet to an e-mail. The information 
          included student names, e-mail and home addresses, phone and Social 
          Security numbers and dates of birth.","Dataloss DB","2009",-120.7401385,47.7510741
"April 29, 2009","Oklahoma Housing Finance Agency","Oklahoma","City","Portable Device","Government and Military","225,000",225000,"A laptop computer containing the 
          personal information of about 225,000 Oklahomans was stolen from a city 
          home last week. The names, Social Security numbers, tax identification 
          numbers, birth dates and addresses of clients of the Section 8 Housing 
          Voucher Program were on an employee's laptop that was stolen.","Dataloss DB","2009",-97.5164276,35.4675602
"April 29, 2009","llinois Department on Aging","Springfield","Illinois","Unintended Disclosure","Government and Military","170",170,"A spreadsheet with worker names 
          and Social Security numbers was found on the Internet. The data, prepared 
          for an outside auditing firm, was released to a so-called peer-to-peer 
          network during a music transfer to an agency laptop. 160 employees and 
          another 10 or so former staffers were alerted to the breach.","Dataloss DB","2009",-89.6501481,39.7817213
"April 27, 2009","Federal Reserve Bank of New York","New","York","Insider","Financial and Insurance Services","0",0,"A former employee at the Federal 
          Reserve Bank of New York and his brother were arrested on suspicion 
          of obtaining loans using stolen identities. The former employee previously 
          worked as an IT analyst at the bank and had access to sensitive employee 
          information, including names, birthdates, Social Security numbers and 
          photographs. A thumb drive attached to his computer had applications 
          for $73,000 in student loans using two stolen identities. They also 
          found a fake drivers license with the photo of a bank employee who wasn't 
          the person identified in the license.","Media","2009",-74.0059728,40.7127753
"April 23, 2009","Oklahoma Department of Human Services           ","Oklahoma","City","Portable Device","Government and Military","1,000,000",1e+06,"Some personal information may have 
          been contained on a laptop computer stolen from an agency employee. 
          Information on the stolen computer included names, Social Security numbers 
          and dates of birth for people who receive DHS services.","Dataloss DB","2009",-97.5164276,35.4675602
"April 22, 2009","Marian Medical Center","Santa","Maria","Portable Device","Healthcare Medical Providers and Medical Insurance Services","3,200",3200,"Recent patients of the emergency 
          room and Urgent Care Center have been alerted that a Blackberry containing 
          patient information was stolen from the hospital. The Blackberry contained 
          an email message that included patient information, such as Social Security 
          numbers, dates of birth and medical histories.","Dataloss DB","2009",-120.4357191,34.9530337
"April 22, 2009","New York State Tax Department","New","York","Insider","Government and Military","2,000",2000,"A former New York state tax department 
          worker was accused of stealing the identities of thousands of taxpayers 
          and running up more than $200,000 in fraudulent charges. The former 
          employee gathered credit card, brokerage account and Social Security 
          numbers that he used to open more than 90 credit card accounts and lines 
          of credit between 2006 and 2008. Investigators searched the employee's 
          home, they found more than 700 state tax forms containing identifying 
          taxpayer information. They also found more than 300 birth certificates, 
          more than 1,000 Social Security cards, credit card statements and applications, 
          and some 2,000 notes with Social Security numbers, many accompanied 
          by handwritten notes such as good prospect, had money 
          and go with this one.","Media","2009",-74.0059728,40.7127753
"April 20, 2009","FairPoint Communications Inc.","Charlotte","North","Portable Device","Business Other","4,400",4400,"A worker's failure to abide 
          by security precautions caused a portable data-storage device containing 
          employee information to disappear. The device contained information 
          for all current FairPoint employees and some former employees, or about 
          4,400 individuals in total. Such data may have included names, home 
          addresses and phone numbers, Social Security numbers, birth dates and 
          certain compensation and employment information.","Dataloss DB","2009",-80.8431267,35.2270869
"April 16, 2009","MySpace","Los","Angeles","Insider","Business Other","0",0,"Confidential employee information, 
          including at least name, Social Security numbers and compensation, 
          was taken by an employee in the company's benefit's department 
          without authorization, beginning in June 2008 or earlier. The information 
          was used to annoy selected individuals and the now former 
          employee was arrested and is being prosecuted by the High Tech Crimes 
          Division of the Los Angeles County District Attorneys Office.","Dataloss DB","2009",-118.2436849,34.0522342
"April 13, 2009","Moses Cone Hospital","Greensboro","North","Portable Device","Healthcare Medical Providers and Medical Insurance Services","14,380",14380,"Moses Cone Hospital is offering 
            free credit monitoring to 14,380 patients after a laptop computer 
            containing confidential information was stolen from a VHA employee's 
            car. The information on the laptop, including patients' Social Security 
            numbers.","Dataloss DB","2009",-79.7919754,36.0726354
"April 12, 2009","CBIZ Medical Management Professionals","Chattanooga","Tennessee","Stationary Device","Healthcare Medical Providers and Medical Insurance Services","0",0,"The office of CBIZ Medical was broken 
          into on Feb. 23. Among the items stolen was a computer belonging to 
          the hospital with stored radiology reports related to some patients. 
          Patients between December 2007 and Feb. 23, 2009, may have had records 
          saved on the stolen computer.","Dataloss DB","2009",-85.3096801,35.0456297
"April 11, 2009","Peninsula Orthopaedic Associates","Salisbury","Maryland","Portable Device","Healthcare Medical Providers and Medical Insurance Services","100,000",1e+05,"As many as 100,000 patients of 
            Peninsula Orthopaedic Associates are being warned to protect themselves 
            against identity theft after tapes containing patient information 
            were stolen. Patients also were advised to keep an eye on benefits 
            statements from their health insurance companies since they may also 
            be at risk for medical identity theft. The records from Peninsula 
            Orthopaedic were stolen March 25 while in transport to an off-site 
            storage facility. Patients' personal information including their Social 
            Security numbers, employers and health insurance plan numbers may 
            have been among the information stolen.","Dataloss DB","2009",-75.5993692,38.3606736
"April 10, 2009","Borrego Springs Bank, Vavrinek, Trine, Day and Co.","Borrego","Springs","Portable Device","Financial and Insurance Services","0",0,"The theft of seven laptop computers 
          from an auditing firm has led the Borrego Springs Bank to send warning 
          letters to all of its customers saying their personal financial information 
          may be in the hands of criminals. The bank would not comment on the 
          name of the accounting firm that was auditing the records or how or 
          where the thefts occurred. The computer files contain sensitive personal 
          financial information including account name, number and balance.","Dataloss DB","2009",-116.375012,33.2558717
"April 9, 2009","Penn State Erie/Behrend College","Erie","Pennsylvania","Hacking or Malware","Educational Institutions","10,868",10868,"On March 23, the University confirmed 
            that 10,868 Social Security numbers in historical data on a computer 
            at Penn State Erie, The Behrend College, could have been breached. 
            Longstanding security measures, designed to protect the network and 
            systems from malicious software, alerted the University to the potential 
            breach. As soon as the University became aware of the malicious software 
            on this computer, the computer was immediately taken off line, data 
            was examined and information was removed.","Dataloss DB","2009",-80.085059,42.1292241
"April 8, 2009","Metro Nashville School/Public Consulting Group ","Nashville","Tennessee","Unintended Disclosure","Educational Institutions","18,000",18000,"Metro Nashville students' names, 
          Social Security numbers, addresses and dates of birth and parents' demographic 
          information were available by searching Google. A private contractor 
          unintentionally put student data on a computer Web server that wasn't 
          secure. The data was available online from Dec. 28 to March 31.","Dataloss DB","2009",-86.7816016,36.1626638
"April 6, 2009","City of Culpeper","Culpepper","Virginia","Unintended Disclosure","Government and Military","7,845",7845,"Personal information for 7,845 
            town taxpayers was exposed on the Internet due to a vendor's mistake. 
            The unidentified vendor had the records to reformat the town's personal 
            property tax file for billing purposes. The files containing the names, 
            addresses and Social Security numbers of residents were on a password-protected 
            site that was compromised.","Dataloss DB","2009",-77.9962512,38.4729632
"April 8, 2009","Hawaii Department of Transportation","Kapolei","O","Portable Device","Government and Military","1,892",1892,"Holders of Hawai'i commercial driver's 
          licenses are being warned to take measures to prevent identity theft 
          after a state computer containing personal information was stolen three 
          weeks ago. The laptop computer contained the names, addresses, Social 
          Security numbers and other personal information of 1,892 commercial 
          vehicle license drivers.","Dataloss DB","2009",-158.0568965,21.3353909
"April 3, 2009","Policy Studies, Inc., Tenn. Dept. of Human Services","Nashville","Tennessee","Insider","Government and Military","1,600",1600,"A former child support worker was 
          arrested after attempting to sell the personal information  -  including 
          names, Social Security numbers and bank account numbers  -  of 1,600 
          people. He sold a total of 35 names, dates of birth and Social Security 
          numbers between October 2008 and last month, all to an undercover operative 
          of the Tennessee Bureau of Investigation. He claimed to the operative 
          that he had similar information that he was willing to sell for an additional 
          1,500 people, and was arrested while meeting with the operative to deliver 
          the information.","Dataloss DB","2009",-86.7816016,36.1626638
"April 1, 2009","Palo Alto Medical Foundation","Palo","Alto","Portable Device","Healthcare Medical Providers and Medical Insurance Services","1,000",1000,"A laptop computer recently stolen 
          at the Palo Alto Medical Foundation's Santa Cruz office contained personal 
          and medical information of 1,000 Santa Cruz County patients.","Dataloss DB","2009",-122.1430195,37.4418834
"April 1, 2009","State of Maryland","","Maryland","Physical Loss","Government and Military","8,000",8000,"The names, Social Security numbers and other personal information of about 8,000 state employees could be compromised. The potential problem came to light when a torn and empty envelope from the company that manages the state's health savings account program arrived by U.S. mail. The envelope was missing an invoice that contains confidential information.","","2009",-76.6412712,39.0457549
"March 27, 2009","Pacific University   ","Forest","Grove","Portable Device","Educational Institutions","0",0,"A University-owned laptop was stolen 
          from a staff member's residence. The stolen laptop was password 
          protected and there is no factual evidence that any private information 
          was stored on the laptop. The computer contained names and some personal 
          information. It does not appear that any Social Security numbers were 
          stored on the system.","Media","2009",-123.1106631,45.5198364
"March 23, 2009","Maryland Federal Court","Baltimore","Maryland","Unintended Disclosure","Government and Military","226",226,"A filing error in Maryland's federal 
          court resulted in health insurance information for 226 people - including 
          42 Social Security numbers - being made available to the public for 
          more than two weeks. The private information of Washington area residents 
          was included in requests for warrants to search the doctors' offices 
          in Suitland, La Plata, Oxon Hill and Falls Church as part of a health 
          care fraud investigation. The warrants were marked as being sealed and, 
          therefore, were not supposed to be made public.","Media","2009",-76.6121893,39.2903848
"March 19, 2009","Bailey Middle School","Nashville","Tennessee","Physical Loss","Educational Institutions","21",21,"A Nashville mother who was walking 
            along found confidential paperwork that lists Metro school students' 
            names, Social Security numbers and disabilities. The Metro Schools 
            spokeswoman said they will trace the documents and try to figure out 
            how they got where they weren't supposed to be.","Media","2009",-86.7816016,36.1626638
"March 18, 2009","University of West Georgia","Carrollton","Georgia","Portable Device","Educational Institutions","1,300",1300,"University of West Georgia officials 
          have notified nearly 1,300 students and faculty members that their personal 
          information was on a laptop stolen from a professor traveling in Italy. 
          The laptop was taken last summer, but university officials say they 
          only recently learned that the computer contained sensitive information, 
          including names, addresses, phone numbers and Social Security numbers.","Dataloss DB","2009",-85.0766113,33.5801103
"March 18, 2009","New York City Housing Authority","New","York","Physical Loss","Government and Military","0",0,"Dozens of confidential files with 
          city public housing residents' birth dates, Social Security numbers, 
          and eviction notices were dumped on an East New York street. City Housing 
          Authority officials are investigating to determine how the files ended 
          up scattered along Atlantic Ave. near Pennsylvania Ave.","Dataloss DB","2009",-74.0059728,40.7127753
"March 17, 2009","Penn State Office of Physical Plant","University","Park","Hacking or Malware","Educational Institutions","1,000",1000,"The Social Security numbers of 
          employees working for the Penn State Office of Physical Plant in 2000 
          may have been stolen. A virus infiltrated an administrative computer 
          that contained more than 1,000 Social Security numbers of OPP employees.","Dataloss DB","2009",-96.797592,32.8550377
"March 11, 2009","Binghamton University","Binghamton","New","Stationary Device","Educational Institutions","100,000",1e+05,"Binghamton University kept payment 
          information for every student, possibly dating back at least ten years 
          in a storage area next to one of the most trafficked lecture halls on 
          campus, behind a door that was not only unlocked but taped open. The 
          information itself contained Social Security numbers, credit card numbers, 
          scans of tax forms, business information (including Social Security 
          numbers and salary information for employees of students' parents), 
          asylum records and more, all kept in a haphazard and disorganized fashion, 
          sprawled out in boxes, in unlocked (yet lockable) filing cabinets and 
          shelving units. If the information inside the room pertained only to 
          the current students enrolled and their parents that would mean the 
          story would effect, roughly, forty-two thousand people. However, because 
          the information goes back at least ten years, if not more, the potential 
          number of people effect lies well in the hundred thousands.","Media","2009",-75.9179738,42.0986867
"March 7, 2009","Idaho National Laboratory ","Idaho","Falls","Portable Device","Government and Military","59,000",59000,"Idaho's Congressional Delegation 
          this week announced a potential identity theft threat involving information 
          from 59,000 present and former workers at the Idaho National Laboratory 
          at Idaho Falls. DOE notified delegation members that an encoded disc 
          containing personal data from the employees was either lost or stolen 
          in transit via United Parcel Service. The package, originally shipped 
          from New York to Maryland, was found damaged.","Dataloss DB","2009",-112.0339645,43.4916514
"March 7, 2009","Oklahoma Department of Human Services","Shawnee","Oklahoma","Physical Loss","Government and Military","0",0,"The state Department of Human Services 
          is investigating how a child welfare worker's records ended up 
          with a local TV station. The files, which included names, Social Security 
          numbers, contact information and details on child abuse investigations, 
          reportedly were left behind when a DHS worker was evicted from a rent 
          house in Guthrie.","Dataloss DB","2009",-96.9253004,35.3272928
"March 6, 2009","Federal Emergency Management Agency Region 5 Office","Griffith","Indiana","Portable Device","Government and Military","50",50,"A laptop containing Social Security 
            numbers and other personal information from dozens of victims of last 
            September's floods was reported stolen from a housing inspector's 
            car. Representatives from the Federal Emergency Management Agency 
            alerted roughly 50 flood victims from Gary, Hammond, Highland, 
            Griffith and Munster whose information was stored in the laptop after 
            they applied for federal disaster assistance. The password-protected 
            laptop was stolen from a housing inspector's car in Griffith on Nov. 
            4, containing names, Social Security numbers, dates of birth, addresses 
            and phone numbers of people who applied for assistance.","Dataloss DB","2009",-87.4236497,41.5283693
"March 5, 2009","St. Rita's Medical Center","Lima","Ohio","Physical Loss","Healthcare Medical Providers and Medical Insurance Services","242",242,"A home-health employee for St. 
            Rita's Medical Center had a bag stolen during an automobile break-in. 
            The bag contained information on some patients, including names, dated 
            of birth, addresses, phone numbers, patient identification numbers, 
            and the names of case managers and physicians. In some cases it also 
            included Social Security numbers and the type of treatment being provided, 
            according to a letter given to the patients involved.","Dataloss DB","2009",-84.1052256,40.742551
